CUSTOMER_ID,HAS_PROD_Business_Credit_Card,HAS_PROD_Cashback_Card,HAS_PROD_Classic_Credit_Card,HAS_PROD_Gold_Credit_Card,HAS_PROD_Platinum_Credit_Card,HAS_PROD_Titanium_Credit_Card,HAS_PROD_Travel_Rewards_Card,HAS_PROD_World_Elite_Card,AGE_GROUP_18_25
1,0,0,0,1,0,0,0,0,False
2,0,0,0,0,0,0,1,0,False
3,0,1,1,0,0,0,1,0,False
5,0,1,0,0,0,0,0,0,False
6,0,0,0,0,0,0,0,1,False
7,0,1,0,1,0,0,0,0,False
8,0,0,0,0,1,0,1,0,False
9,0,0,0,0,0,0,1,0,False
12,0,0,0,1,0,0,0,0,False
13,0,0,0,1,0,0,1,0,False
14,0,0,0,0,0,1,0,0,False
15,0,0,0,0,0,1,0,0,False
16,1,0,0,0,0,0,0,0,False
17,0,0,0,0,1,0,0,0,False
18,1,0,0,1,0,1,0,0,False
19,1,0,0,0,0,0,0,0,False
20,1,0,0,0,0,0,0,0,False
21,0,0,1,0,0,0,0,0,False
23,0,0,0,0,1,0,0,0,False
24,0,0,0,1,0,0,0,0,False
25,1,1,1,0,0,0,0,0,False
26,1,0,1,0,0,0,0,0,False
27,0,0,1,0,1,0,0,0,False
28,0,0,1,1,0,0,0,0,False
29,1,0,0,0,0,0,0,0,False
30,0,0,0,0,0,0,1,0,False
31,0,1,0,0,0,1,0,0,False
32,0,0,0,1,0,0,0,0,False
33,0,0,0,0,0,0,0,1,False
35,0,1,0,0,0,0,0,0,False
36,0,0,0,1,0,1,0,0,False
37,1,0,0,0,0,0,0,0,False
38,0,0,0,0,0,0,1,0,False
39,0,0,0,0,0,0,0,1,False
40,0,0,0,1,0,1,0,0,False
42,0,0,1,0,0,0,0,0,False
45,0,0,0,1,0,1,0,0,False
49,1,0,0,0,0,0,1,1,False
50,0,0,0,0,1,0,1,0,False
51,0,0,0,0,0,1,0,0,False
52,0,0,0,0,0,0,1,0,False
53,0,0,0,0,0,0,0,1,False
54,0,0,1,0,0,0,0,1,False
55,0,0,0,0,1,0,0,0,False
56,1,0,1,0,0,0,1,0,False
57,0,0,0,0,0,1,0,0,False
58,0,0,0,0,0,0,1,0,False
60,1,0,1,0,0,0,0,0,False
61,0,0,0,0,0,0,0,1,False
64,0,1,0,0,0,0,0,0,False
65,0,1,0,0,0,0,0,0,False
67,1,0,0,0,0,0,0,1,False
68,1,1,0,0,0,0,0,1,False
69,0,0,0,0,1,0,1,0,False
70,1,0,0,0,0,0,0,0,False
71,0,0,0,0,0,1,0,0,False
72,0,1,0,0,0,0,0,0,False
73,0,0,0,0,0,0,0,1,False
74,0,0,0,1,0,0,0,0,False
77,0,0,1,0,1,1,0,0,False
78,0,1,0,0,0,0,0,0,False
79,0,0,0,0,0,1,0,1,False
81,0,0,0,0,0,0,1,1,False
83,1,0,0,0,0,0,0,0,False
84,0,0,1,0,0,0,0,0,False
85,0,0,0,0,1,0,0,0,False
86,1,1,1,0,0,0,0,0,False
87,0,0,1,0,1,0,1,0,False
88,0,0,1,0,1,0,0,0,False
